Temperature (K)	Pressure (bar)	Density (mol/m3)	Volume (m3/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
77.400	0.27833	43.749	0.022858	1.5866	2.2228	162.81	20.992	29.682	178.16	2.6347	5.3893	0.0070795	vapor
77.400	0.28000	44.014	0.022720	1.5865	2.2227	162.76	20.993	29.686	178.15	2.6349	5.3895	0.0070798	vapor
77.400	0.28167	44.279	0.022584	1.5864	2.2226	162.70	20.994	29.689	178.15	2.6350	5.3896	0.0070800	vapor
77.400	0.28333	44.544	0.022450	1.5863	2.2224	162.65	20.996	29.693	178.14	2.6352	5.3897	0.0070802	vapor
77.400	0.28500	44.809	0.022317	1.5863	2.2223	162.60	20.997	29.697	178.13	2.6354	5.3899	0.0070804	vapor
77.400	0.28667	45.075	0.022185	1.5862	2.2222	162.56	20.998	29.700	178.13	2.6355	5.3900	0.0070807	vapor
77.400	0.28833	45.340	0.022056	1.5861	2.2220	162.51	20.999	29.704	178.12	2.6357	5.3901	0.0070809	vapor
77.400	0.29000	45.605	0.021927	1.5860	2.2219	162.46	21.001	29.708	178.11	2.6358	5.3902	0.0070811	vapor
77.400	0.29167	45.870	0.021801	1.5859	2.2218	162.41	21.002	29.711	178.10	2.6360	5.3904	0.0070814	vapor
77.400	0.29333	46.136	0.021675	1.5858	2.2216	162.36	21.003	29.715	178.10	2.6361	5.3905	0.0070816	vapor
77.400	0.29500	46.401	0.021551	1.5857	2.2215	162.31	21.005	29.718	178.09	2.6363	5.3906	0.0070818	vapor
77.400	0.29667	46.666	0.021429	1.5857	2.2214	162.26	21.006	29.722	178.08	2.6364	5.3907	0.0070820	vapor
77.400	0.29833	46.932	0.021307	1.5856	2.2212	162.22	21.007	29.726	178.08	2.6366	5.3909	0.0070823	vapor
77.400	0.30000	47.197	0.021188	1.5855	2.2211	162.17	21.008	29.729	178.07	2.6368	5.3910	0.0070825	vapor
77.400	0.30167	47.463	0.021069	1.5854	2.2210	162.12	21.010	29.733	178.06	2.6369	5.3911	0.0070827	vapor
77.400	0.30333	47.729	0.020952	1.5853	2.2209	162.07	21.011	29.737	178.05	2.6371	5.3913	0.0070829	vapor
77.400	0.30500	47.994	0.020836	1.5852	2.2207	162.03	21.012	29.740	178.05	2.6372	5.3914	0.0070832	vapor
77.400	0.30667	48.260	0.020721	1.5851	2.2206	161.98	21.013	29.744	178.04	2.6374	5.3915	0.0070834	vapor
77.400	0.30833	48.526	0.020608	1.5851	2.2205	161.93	21.015	29.748	178.03	2.6375	5.3916	0.0070836	vapor
77.400	0.31000	48.791	0.020495	1.5850	2.2203	161.89	21.016	29.751	178.03	2.6377	5.3918	0.0070838	vapor
77.400	0.31167	49.057	0.020384	1.5849	2.2202	161.84	21.017	29.755	178.02	2.6379	5.3919	0.0070841	vapor
77.400	0.31333	49.323	0.020275	1.5848	2.2201	161.80	21.019	29.759	178.01	2.6380	5.3920	0.0070843	vapor
77.400	0.31500	49.589	0.020166	1.5847	2.2199	161.75	21.020	29.762	178.00	2.6382	5.3921	0.0070845	vapor
77.400	0.31667	49.855	0.020058	1.5846	2.2198	161.71	21.021	29.766	178.00	2.6383	5.3923	0.0070848	vapor
77.400	0.31833	50.120	0.019952	1.5845	2.2197	161.66	21.022	29.769	177.99	2.6385	5.3924	0.0070850	vapor
77.400	0.32000	50.386	0.019847	1.5845	2.2195	161.62	21.024	29.773	177.98	2.6386	5.3925	0.0070852	vapor
77.400	0.32167	50.652	0.019742	1.5844	2.2194	161.57	21.025	29.777	177.98	2.6388	5.3927	0.0070854	vapor
77.400	0.32333	50.918	0.019639	1.5843	2.2193	161.53	21.026	29.780	177.97	2.6389	5.3928	0.0070857	vapor
77.400	0.32500	51.185	0.019537	1.5842	2.2192	161.49	21.027	29.784	177.96	2.6391	5.3929	0.0070859	vapor
77.400	0.32667	51.451	0.019436	1.5841	2.2190	161.44	21.029	29.788	177.95	2.6393	5.3930	0.0070861	vapor
77.400	0.32833	51.717	0.019336	1.5840	2.2189	161.40	21.030	29.791	177.95	2.6394	5.3932	0.0070863	vapor
77.400	0.33000	51.983	0.019237	1.5839	2.2188	161.36	21.031	29.795	177.94	2.6396	5.3933	0.0070866	vapor
77.400	0.33167	52.249	0.019139	1.5838	2.2186	161.31	21.033	29.799	177.93	2.6397	5.3934	0.0070868	vapor
77.400	0.33333	52.515	0.019042	1.5838	2.2185	161.27	21.034	29.803	177.93	2.6399	5.3935	0.0070870	vapor
77.400	0.33500	52.782	0.018946	1.5837	2.2184	161.23	21.035	29.806	177.92	2.6400	5.3937	0.0070873	vapor
77.400	0.33667	53.048	0.018851	1.5836	2.2182	161.18	21.036	29.810	177.91	2.6402	5.3938	0.0070875	vapor
77.400	0.33833	53.314	0.018757	1.5835	2.2181	161.14	21.038	29.814	177.90	2.6404	5.3939	0.0070877	vapor
77.400	0.34000	53.581	0.018663	1.5834	2.2180	161.10	21.039	29.817	177.90	2.6405	5.3941	0.0070880	vapor
